iter	RMSE
0	12.85360346
1	12.8181063
2	12.77105349
3	12.72009596
4	12.67989013
5	12.63302615
6	12.58985898
7	12.55560917
8	12.51986043
9	12.47509383
10	12.42989361
11	12.38841597
12	12.33664904
13	12.29466014
14	12.24841392
15	12.21547749
16	12.1962909
17	12.16205787
18	12.14056585
19	12.1024861
20	12.06275051
21	12.04048963
22	12.01422515
23	11.97979629
24	11.94336693
25	11.92445657
26	11.88630351
27	11.85289823
28	11.8230048
29	11.78668559
30	11.75390039
31	11.72645074
32	11.70202551
33	11.67148417
34	11.64996671
35	11.63338967
36	11.62071773
37	11.60832264
38	11.57661271
39	11.55572758
40	11.53093659
41	11.52126148
42	11.50953626
43	11.50183762
44	11.48198413
45	11.46468373
46	11.44531059
47	11.42222
48	11.40047882
49	11.38735978
50	11.36102442
51	11.3512138
52	11.33904771
53	11.32871323
54	11.3080865
55	11.29481203
56	11.27575187
57	11.26392449
58	11.25526278
59	11.24285514
60	11.22812814
61	11.21705319
62	11.20777858
63	11.20081783
64	11.18332604
65	11.17327849
66	11.15614758
67	11.14392548
68	11.12369485
69	11.1097176
70	11.10122948
71	11.09414252
72	11.08484928
73	11.07580588
74	11.06981192
75	11.059623
76	11.04038984
77	11.03729974
78	11.0318568
79	11.02030011
80	11.01511778
81	11.00447511
82	10.99856438
83	10.98752976
84	10.97500618
85	10.96433554
86	10.95635651
87	10.95062803
88	10.94935642
89	10.93994858
90	10.93891184
91	10.93074653
92	10.930131
93	10.91624791
94	10.8993135
95	10.89441097
96	10.88399974
97	10.87003542
98	10.8597879
99	10.85503687
100	10.84646698
101	10.8405154
102	10.83704235
103	10.82281089
104	10.81164527
105	10.80924924
106	10.8016059
107	10.79090562
108	10.78928404
109	10.77946291
110	10.76814933
111	10.75666703
112	10.75169835
113	10.73253337
114	10.72301347
115	10.71518825
116	10.71138371
117	10.71079273
118	10.70314577
119	10.69889408
120	10.69302043
121	10.68729162
122	10.68217104
123	10.67474922
124	10.67125969
125	10.66447414
126	10.65612954
127	10.64249489
128	10.63336077
129	10.63046051
130	10.61887885
131	10.61561171
132	10.60973587
133	10.59196163
134	10.58717487
135	10.5823138
136	10.57576813
137	10.57196966
138	10.55952419
139	10.54424297
140	10.53971812
141	10.52902919
142	10.5175572
143	10.50651528
144	10.49835903
145	10.49593017
146	10.48858679
147	10.48546816
148	10.48188535
149	10.48133039
150	10.47101125
151	10.44888587
152	10.44439915
153	10.43824696
154	10.43377839
155	10.42509208
156	10.41985707
157	10.41439239
158	10.40518092
159	10.39311959
160	10.38741135
161	10.3631623
162	10.3592131
163	10.34795436
164	10.33922882
165	10.33678246
166	10.32488344
167	10.32206042
168	10.31837921
169	10.31416113
170	10.30295873
171	10.29313481
172	10.29103684
173	10.28792911
174	10.28199158
175	10.27861113
176	10.27318651
177	10.26804576
178	10.25760267
179	10.24633184
180	10.24480581
181	10.2380407
182	10.22854131
183	10.22137223
184	10.2119785
185	10.20802584
186	10.20620806
187	10.19975678
188	10.19607017
189	10.19388849
190	10.18365751
191	10.18077998
192	10.17757635
193	10.17507415
194	10.1717154
195	10.16255504
196	10.15638722
197	10.14162701
198	10.13972352
199	10.13727586
200	10.13585122
201	10.13271934
202	10.13229439
203	10.12841231
204	10.12514428
205	10.11230283
206	10.10001908
207	10.09370836
208	10.09034284
209	10.08528296
210	10.08151784
211	10.07252721
212	10.06986201
213	10.0641955
214	10.05512194
215	10.05221664
216	10.04456566
217	10.04147328
218	10.03661261
219	10.029826
220	10.02015725
221	10.01404852
222	10.00938155
223	10.0014766
224	9.997578838
225	9.996987197
226	9.99416527
227	9.99020216
228	9.9854632
229	9.976883015
230	9.97609279
231	9.967990781
232	9.967732318
233	9.965479999
234	9.960888919
235	9.955104935
236	9.951456624
237	9.943183288
238	9.941390986
239	9.934574856
240	9.928549358
241	9.908291618
242	9.9071698
243	9.904550312
244	9.901593788
245	9.892557306
246	9.882298833
247	9.874825142
248	9.866789717
249	9.858498612
250	9.857833362
251	9.844751735
252	9.843757381
253	9.840653729
254	9.83993596
255	9.839201072
256	9.837384783
257	9.836138227
258	9.827644032
259	9.824340785
260	9.815226132
261	9.812694568
262	9.809686608
263	9.808884983
264	9.802772641
265	9.794416939
266	9.791696758
267	9.788660168
268	9.7862027
269	9.783179115
270	9.775339793
271	9.766063531
272	9.763166231
273	9.76034095
274	9.759499817
275	9.752645007
276	9.749892478
277	9.747162806
278	9.746392356
279	9.743762408
280	9.742996073
281	9.73570652
282	9.730711518
283	9.724765936
284	9.717380089
285	9.716953884
286	9.716542535
287	9.714250267
288	9.702642892
289	9.70025863
290	9.69772247
291	9.692683148
292	9.685941201
293	9.680180753
294	9.669022346
295	9.663036805
296	9.660703304
297	9.653412085
298	9.647062037
299	9.643262769
300	9.642852112
301	9.642709001
302	9.64159127
303	9.635279777
304	9.632210442
305	9.624843782
306	9.624467925
307	9.617259878
308	9.610299412
309	9.607145446
