iter	Passed	Remaining
0	0	424
1	1	365
2	1	324
3	2	298
4	3	300
5	3	281
6	3	272
7	4	265
8	4	258
9	5	290
10	6	281
11	6	275
12	7	271
13	7	270
14	8	287
15	9	281
16	9	281
17	10	275
18	10	268
19	10	263
20	11	260
21	11	254
22	12	250
23	12	247
24	12	244
25	13	242
26	13	237
27	13	233
28	14	229
29	14	229
30	15	227
31	15	230
32	16	228
33	16	226
34	16	224
35	17	223
36	17	221
37	18	219
38	18	217
39	18	217
40	19	214
41	19	213
42	19	211
43	20	211
44	21	217
45	21	215
46	22	215
47	22	213
48	23	214
49	23	213
50	24	211
51	24	211
52	24	210
53	25	210
54	25	209
55	26	207
56	26	206
57	27	206
58	27	205
59	27	203
60	28	202
61	28	201
62	28	199
63	29	198
64	29	196
65	29	196
66	30	195
67	30	194
68	30	193
69	31	192
70	31	190
71	31	188
72	32	188
73	32	188
74	33	187
75	33	187
76	34	187
77	34	186
78	34	186
79	35	184
80	35	183
81	35	183
82	36	182
83	36	181
84	37	181
85	37	180
86	37	179
87	38	179
88	38	178
89	38	177
90	40	179
91	40	179
92	40	178
93	40	177
94	41	176
95	41	175
96	42	174
97	42	174
98	42	173
99	43	172
100	43	171
101	43	170
102	44	170
103	44	169
104	44	168
105	45	167
106	45	166
107	46	167
108	46	166
109	46	165
110	47	164
111	47	164
112	47	163
113	48	162
114	48	162
115	48	161
116	49	161
117	49	160
118	50	160
119	50	159
120	50	159
121	51	159
122	51	158
123	51	157
124	52	157
125	52	156
126	53	155
127	53	155
128	53	154
129	54	154
130	54	153
131	54	152
132	56	154
133	56	154
134	56	153
135	57	152
136	57	152
137	57	151
138	58	151
139	58	150
140	59	150
141	59	149
142	59	149
143	60	148
144	60	147
145	60	147
146	61	147
147	61	146
148	61	145
149	62	145
150	62	145
151	63	144
152	63	144
153	64	143
154	64	143
155	64	142
156	65	142
157	65	141
158	65	141
159	66	140
160	66	140
161	67	139
162	67	139
163	67	138
164	68	138
165	68	137
166	68	137
167	68	136
168	69	135
169	69	135
170	70	135
171	70	134
172	70	134
173	71	133
174	71	133
175	72	132
176	72	132
177	73	132
178	73	131
179	73	131
180	74	130
181	74	130
182	75	130
183	75	129
184	75	128
185	76	128
186	76	127
187	76	127
188	77	126
189	77	126
190	77	125
191	78	125
192	78	125
193	79	124
194	79	124
195	79	123
196	80	123
197	80	122
198	80	122
199	81	122
200	82	122
201	83	122
202	83	121
203	83	121
204	83	120
205	84	120
206	84	120
207	85	119
208	85	119
209	86	119
210	87	119
211	87	119
212	88	118
213	88	118
214	88	117
215	89	117
216	89	116
217	90	116
218	90	116
219	91	115
220	91	115
221	91	114
222	92	114
223	92	113
224	92	113
225	92	112
226	93	112
227	93	111
228	94	111
229	94	110
230	94	110
231	95	109
232	95	109
233	96	109
234	96	108
235	96	108
236	97	108
237	97	107
238	98	107
239	98	106
240	99	106
241	99	106
242	99	105
243	100	105
244	100	104
245	100	104
246	101	103
247	101	103
248	102	102
249	102	102
250	103	102
251	104	102
252	105	102
253	105	102
254	105	101
255	106	101
256	106	100
257	106	100
258	107	99
259	107	99
260	108	99
261	108	98
262	109	98
263	109	97
264	109	97
265	110	96
266	110	96
267	111	96
268	111	96
269	112	95
270	112	95
271	113	94
272	113	94
273	114	94
274	114	93
275	115	93
276	115	93
277	115	92
278	116	92
279	116	91
280	116	90
281	117	90
282	117	90
283	118	89
284	118	89
285	118	88
286	119	88
287	119	87
288	119	87
289	120	87
290	120	86
291	121	86
292	121	85
293	121	85
294	122	85
295	122	84
296	123	84
297	123	83
298	124	83
299	124	82
300	124	82
301	124	81
302	125	81
303	125	81
304	126	80
305	126	80
306	126	79
307	127	79
308	127	78
309	127	78
310	127	77
311	128	77
312	128	76
313	129	76
314	129	76
315	129	75
316	130	75
317	130	74
318	131	74
319	132	74
320	132	73
321	132	73
322	133	72
323	133	72
324	133	72
325	134	71
326	134	71
327	135	70
328	135	70
329	135	69
330	136	69
331	136	69
332	136	68
333	137	68
334	137	67
335	137	67
336	138	66
337	138	66
338	139	66
339	139	65
340	139	65
341	140	64
342	140	64
343	141	64
344	141	63
345	142	63
346	142	62
347	143	62
348	143	62
349	144	61
350	144	61
351	144	60
352	145	60
353	145	60
354	145	59
355	146	59
356	146	58
357	147	58
358	147	57
359	147	57
360	148	57
361	148	56
362	148	56
363	149	55
364	149	55
365	149	54
366	150	54
367	150	53
368	150	53
369	151	53
370	151	52
371	151	52
372	152	51
373	152	51
374	153	51
375	153	50
376	154	50
377	154	49
378	155	49
379	155	49
380	155	48
381	156	48
382	156	47
383	157	47
384	157	47
385	157	46
386	158	46
387	159	45
388	159	45
389	159	45
390	160	44
391	160	44
392	160	43
393	161	43
394	161	43
395	162	42
396	162	42
397	163	41
398	163	41
399	163	40
400	164	40
401	164	40
402	165	39
403	165	39
404	166	38
405	167	38
406	167	38
407	168	37
408	168	37
409	169	37
410	169	36
411	169	36
412	170	35
413	170	35
414	171	35
415	171	34
416	171	34
417	172	33
418	173	33
419	173	33
420	173	32
421	174	32
422	174	31
423	174	31
424	175	30
425	175	30
426	175	30
427	176	29
428	176	29
429	177	28
430	177	28
431	177	27
432	178	27
433	178	27
434	178	26
435	179	26
436	179	25
437	180	25
438	180	25
439	181	24
440	181	24
441	181	23
442	182	23
443	183	23
444	183	22
445	183	22
446	184	21
447	184	21
448	185	21
449	185	20
450	186	20
451	186	19
452	187	19
453	187	19
454	187	18
455	188	18
456	188	17
457	189	17
458	190	16
459	190	16
460	191	16
461	191	15
462	192	15
463	192	14
464	193	14
465	193	14
466	193	13
467	194	13
468	195	12
469	195	12
470	195	12
471	196	11
472	196	11
473	197	10
474	197	10
475	197	9
476	198	9
477	198	9
478	199	8
479	199	8
480	199	7
481	200	7
482	201	7
483	201	6
484	202	6
485	202	5
486	202	5
487	203	4
488	203	4
489	203	4
490	204	3
491	204	3
492	204	2
493	205	2
494	205	2
495	205	1
496	206	1
497	206	0
498	207	0
499	207	0
